iShares Core S&P 500 ETF
Fund Holdings as of,"Mar 01, 2023"
Inception Date,"May 15, 2000"
Shares Outstanding,"746,800,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"ABT","ABBOTT LABORATORIES","Health Care","Equity","1,565,935,273.50","0.53","1,565,935,273.50","15,530,450.00","100.83","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LIN","LINDE PLC","Materials","Equity","1,541,489,981.40","0.52","1,541,489,981.40","4,403,628.00","350.05","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CRM","SALESFORCE INC","Information Technology","Equity","1,490,619,585.30","0.50","1,490,619,585.30","8,907,198.00","167.35","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ACN","ACCENTURE PLC CLASS A","Information Technology","Equity","1,479,324,542.62","0.50","1,479,324,542.62","5,612,218.00","263.59","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"VZ","VERIZON COMMUNICATIONS INC","Communication","Equity","1,432,757,116.60","0.48","1,432,757,116.60","37,408,802.00","38.30","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DHR","DANAHER CORP","Health Care","Equity","1,431,849,069.52","0.48","1,431,849,069.52","5,835,707.00","245.36","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CMCSA","COMCAST CORP CLASS A","Communication","Equity","1,407,528,665.73","0.48","1,407,528,665.73","38,425,571.00","36.63","United States","NASDAQ","USD","1.00","USD","-"
"TXN","TEXAS INSTRUMENT INC","Information Technology","Equity","1,391,826,412.08","0.47","1,391,826,412.08","8,084,024.00","172.17","United States","NASDAQ","USD","1.00","USD","-"
"PM","PHILIP MORRIS INTERNATIONAL INC","Consumer Staples","Equity","1,346,427,245.94","0.46","1,346,427,245.94","13,808,094.00","97.51","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ADBE","ADOBE INC","Information Technology","Equity","1,339,102,351.28","0.45","1,339,102,351.28","4,140,956.00","323.38","United States","NASDAQ","USD","1.00","USD","-"
"NKE","NIKE INC CLASS B","Consumer Discretionary","Equity","1,330,506,849.98","0.45","1,330,506,849.98","11,220,331.00","118.58","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BMY","BRISTOL MYERS SQUIBB","Health Care","Equity","1,313,552,719.68","0.44","1,313,552,719.68","18,938,188.00","69.36","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"RTX","RAYTHEON TECHNOLOGIES CORP","Industrials","Equity","1,283,762,426.88","0.43","1,283,762,426.88","13,094,272.00","98.04","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NFLX","NETFLIX INC","Communication","Equity","1,242,603,058.52","0.42","1,242,603,058.52","3,963,899.00","313.48","United States","NASDAQ","USD","1.00","USD","-"
"NEE","NEXTERA ENERGY INC","Utilities","Equity","1,236,716,048.28","0.42","1,236,716,048.28","17,700,244.00","69.87","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"QCOM","QUALCOMM INC","Information Technology","Equity","1,234,946,902.56","0.42","1,234,946,902.56","9,985,017.00","123.68","United States","NASDAQ","USD","1.00","USD","-"
"UPS","UNITED PARCEL SERVICE INC CLASS B","Industrials","Equity","1,190,152,000.68","0.40","1,190,152,000.68","6,500,721.00","183.08","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"T","AT&T INC","Communication","Equity","1,184,574,082.68","0.40","1,184,574,082.68","63,481,998.00","18.66","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ORCL","ORACLE CORP","Information Technology","Equity","1,181,895,309.00","0.40","1,181,895,309.00","13,688,850.00","86.34","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"COP","CONOCOPHILLIPS","Energy","Equity","1,179,271,087.50","0.40","1,179,271,087.50","11,099,022.00","106.25","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HON","HONEYWELL INTERNATIONAL INC","Industrials","Equity","1,155,063,808.80","0.39","1,155,063,808.80","5,988,510.00","192.88","United States","NASDAQ","USD","1.00","USD","-"
"CAT","CATERPILLAR INC","Industrials","Equity","1,152,688,648.05","0.39","1,152,688,648.05","4,635,415.00","248.67","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UNP","UNION PACIFIC CORP","Industrials","Equity","1,139,003,781.57","0.39","1,139,003,781.57","5,476,243.00","207.99","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MS","MORGAN STANLEY","Financials","Equity","1,129,489,143.68","0.38","1,129,489,143.68","11,742,272.00","96.19","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AMD","ADVANCED MICRO DEVICES INC","Information Technology","Equity","1,124,380,233.15","0.38","1,124,380,233.15","14,361,735.00","78.29","United States","NASDAQ","USD","1.00","USD","-"
"AMGN","AMGEN INC","Health Care","Equity","1,122,540,921.57","0.38","1,122,540,921.57","4,752,703.00","236.19","United States","NASDAQ","USD","1.00","USD","-"
"LOW","LOWES COMPANIES INC","Consumer Discretionary","Equity","1,074,287,331.99","0.36","1,074,287,331.99","5,528,729.00","194.31","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SCHW","CHARLES SCHWAB CORP","Financials","Equity","1,051,722,991.77","0.36","1,051,722,991.77","13,586,397.00","77.41","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GS","GOLDMAN SACHS GROUP INC","Financials","Equity","1,044,353,284.11","0.35","1,044,353,284.11","3,016,357.00","346.23","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SBUX","STARBUCKS CORP","Consumer Discretionary","Equity","1,037,084,525.19","0.35","1,037,084,525.19","10,224,633.00","101.43","United States","NASDAQ","USD","1.00","USD","-"
"IBM","INTERNATIONAL BUSINESS MACHINES CO","Information Technology","Equity","1,032,355,347.18","0.35","1,032,355,347.18","8,053,322.00","128.19","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DE","DEERE","Industrials","Equity","1,026,897,807.25","0.35","1,026,897,807.25","2,446,451.00","419.75","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BA","BOEING","Industrials","Equity","1,020,709,818.30","0.35","1,020,709,818.30","4,990,026.00","204.55","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"INTU","INTUIT INC","Information Technology","Equity","1,007,487,448.69","0.34","1,007,487,448.69","2,510,747.00","401.27","United States","NASDAQ","USD","1.00","USD","-"
"SPGI","S&P GLOBAL INC","Financials","Equity","1,001,894,662.48","0.34","1,001,894,662.48","2,966,116.00","337.78","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ELV","ELEVANCE HEALTH INC","Health Care","Equity","997,751,102.95","0.34","997,751,102.95","2,127,265.00","469.03","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
