iShares Core S&P 500 ETF
Fund Holdings as of,"May 23, 2023"
Inception Date,"May 15, 2000"
Shares Outstanding,"742,000,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"ACN","ACCENTURE PLC CLASS A","Information Technology","Equity","1,609,310,466.40","0.52","1,609,310,466.40","5,585,944.00","288.10","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LIN","LINDE PLC","Materials","Equity","1,546,334,129.04","0.50","1,546,334,129.04","4,368,916.00","353.94","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AMD","ADVANCED MICRO DEVICES INC","Information Technology","Equity","1,546,340,240.88","0.50","1,546,340,240.88","14,302,074.00","108.12","United States","NASDAQ","USD","1.00","USD","-"
"CMCSA","COMCAST CORP CLASS A","Communication","Equity","1,506,735,443.52","0.49","1,506,735,443.52","37,313,904.00","40.38","United States","NASDAQ","USD","1.00","USD","-"
"ADBE","ADOBE INC","Information Technology","Equity","1,504,204,128.94","0.49","1,504,204,128.94","4,060,807.00","370.42","United States","NASDAQ","USD","1.00","USD","-"
"DIS","WALT DISNEY","Communication","Equity","1,455,473,459.52","0.47","1,455,473,459.52","16,204,336.00","89.82","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NFLX","NETFLIX INC","Communication","Equity","1,406,295,776.20","0.46","1,406,295,776.20","3,950,380.00","355.99","United States","NASDAQ","USD","1.00","USD","-"
"WFC","WELLS FARGO","Financials","Equity","1,392,906,077.16","0.45","1,392,906,077.16","33,800,196.00","41.21","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TXN","TEXAS INSTRUMENT INC","Information Technology","Equity","1,364,421,720.96","0.44","1,364,421,720.96","8,038,304.00","169.74","United States","NASDAQ","USD","1.00","USD","-"
"VZ","VERIZON COMMUNICATIONS INC","Communication","Equity","1,350,092,715.36","0.44","1,350,092,715.36","37,254,214.00","36.24","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ORCL","ORACLE CORP","Information Technology","Equity","1,343,339,455.12","0.44","1,343,339,455.12","13,632,428.00","98.54","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DHR","DANAHER CORP","Health Care","Equity","1,337,327,132.13","0.43","1,337,327,132.13","5,814,213.00","230.01","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NEE","NEXTERA ENERGY INC","Utilities","Equity","1,307,198,741.76","0.42","1,307,198,741.76","17,626,736.00","74.16","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PM","PHILIP MORRIS INTERNATIONAL INC","Consumer Staples","Equity","1,278,019,055.28","0.41","1,278,019,055.28","13,751,012.00","92.94","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BMY","BRISTOL MYERS SQUIBB","Health Care","Equity","1,254,734,510.40","0.41","1,254,734,510.40","18,859,680.00","66.53","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"RTX","RAYTHEON TECHNOLOGIES CORP","Industrials","Equity","1,222,529,427.84","0.40","1,222,529,427.84","12,994,573.00","94.08","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NKE","NIKE INC CLASS B","Consumer Discretionary","Equity","1,201,954,493.46","0.39","1,201,954,493.46","11,049,407.00","108.78","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HON","HONEYWELL INTERNATIONAL INC","Industrials","Equity","1,155,504,132.78","0.37","1,155,504,132.78","5,926,574.00","194.97","United States","NASDAQ","USD","1.00","USD","-"
"COP","CONOCOPHILLIPS","Energy","Equity","1,133,251,785.38","0.37","1,133,251,785.38","10,855,942.00","104.39","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"INTU","INTUIT INC","Information Technology","Equity","1,120,848,073.80","0.36","1,120,848,073.80","2,491,881.00","449.80","United States","NASDAQ","USD","1.00","USD","-"
"LOW","LOWES COMPANIES INC","Consumer Discretionary","Equity","1,108,442,082.30","0.36","1,108,442,082.30","5,363,862.00","206.65","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UPS","UNITED PARCEL SERVICE INC CLASS B","Industrials","Equity","1,099,178,521.87","0.36","1,099,178,521.87","6,473,753.00","169.79","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"INTC","INTEL CORPORATION CORP","Information Technology","Equity","1,082,909,790.17","0.35","1,082,909,790.17","36,696,367.00","29.51","United States","NASDAQ","USD","1.00","USD","-"
"UNP","UNION PACIFIC CORP","Industrials","Equity","1,065,850,289.82","0.35","1,065,850,289.82","5,427,489.00","196.38","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AMGN","AMGEN INC","Health Care","Equity","1,063,069,710.92","0.34","1,063,069,710.92","4,736,543.00","224.44","United States","NASDAQ","USD","1.00","USD","-"
"SPGI","S&P GLOBAL INC","Financials","Equity","1,057,624,137.39","0.34","1,057,624,137.39","2,920,081.00","362.19","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MDT","MEDTRONIC PLC","Health Care","Equity","1,028,057,325.60","0.33","1,028,057,325.60","11,799,120.00","87.13","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"IBM","INTERNATIONAL BUSINESS MACHINES CO","Information Technology","Equity","1,027,981,937.58","0.33","1,027,981,937.58","8,019,831.00","128.18","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"QCOM","QUALCOMM INC","Information Technology","Equity","1,024,244,749.56","0.33","1,024,244,749.56","9,890,351.00","103.56","United States","NASDAQ","USD","1.00","USD","-"
"SBUX","STARBUCKS CORP","Consumer Discretionary","Equity","1,022,931,181.00","0.33","1,022,931,181.00","10,194,650.00","100.34","United States","NASDAQ","USD","1.00","USD","-"
"T","AT&T INC","Communication","Equity","1,017,961,928.90","0.33","1,017,961,928.90","63,227,449.00","16.10","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PLD","PROLOGIS REIT INC","Real Estate","Equity","1,011,543,172.74","0.33","1,011,543,172.74","8,187,981.00","123.54","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BA","BOEING","Industrials","Equity","1,010,606,483.60","0.33","1,010,606,483.60","4,988,186.00","202.60","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GE","GENERAL ELECTRIC","Industrials","Equity","982,657,028.70","0.32","982,657,028.70","9,662,311.00","101.70","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CAT","CATERPILLAR INC","Industrials","Equity","981,909,562.19","0.32","981,909,562.19","4,616,189.00","212.71","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GS","GOLDMAN SACHS GROUP INC","Financials","Equity","971,950,243.81","0.32","971,950,243.81","3,003,833.00","323.57","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ELV","ELEVANCE HEALTH INC","Health Care","Equity","969,212,974.52","0.31","969,212,974.52","2,118,452.00","457.51","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
